Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
05/19/2025,Interest Charge on Purchases,96.63,Interest Charge on Purchases,Interest Charge on Purchases,,,,,'150520060000019831',Fees & Adjustments-Fees & Adjustments
05/19/2025,PLAN FEE - INSURENT AGENC,23.12,PLAN FEE - INSURENT AGENC,PLAN FEE - INSURENT AGENC,,,,,'120251393600624050',Fees & Adjustments-Fees & Adjustments
05/18/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90,"00820338966 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320251390584452832',Transportation-Rail Services
05/18/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90,"00820159844 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320251390586183962',Transportation-Rail Services
05/12/2025,MOBILE PAYMENT - THANK YOU,-81.75,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320251320379417447',
05/02/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90,"00816525688 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320251230147655801',Transportation-Rail Services
04/24/2025,INSURENT AGENCY CORPNEW YORK            NY,1794.39,"10156320250 6468431717
INSURENT AGENCY CORPORATI 650000011456
NEW YORK
NY
Description : INSURANCE SALES Price : 17.9439
6468431717",INSURENT AGENCY CORPNEW YORK            NY,"122 EAST 42ND ST
RM 3600","NEW YORK
NY",10168,UNITED STATES,'320251150930635573',Business Services-Insurance Services
04/21/2025,AplPay APPLE.COM/BILINTERNET CHARGE     CA,2.99,"MS7210J6JNA RECORD STORE
AplPay APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",AplPay APPLE.COM/BILINTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,'320251110811365052',Merchandise & Supplies-Internet Purchase
04/21/2025,AplPay APPLE.COM/BILINTERNET CHARGE     CA,5.43,"MS720Q0929A RECORD STORE
AplPay APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",AplPay APPLE.COM/BILINTERNET CHARGE     CA,"MS-3RA
12545 RIATA VISTA CIRCLE","AUSTIN
TX",78727-5205,UNITED STATES,'320251110811052818',Merchandise & Supplies-Internet Purchase
04/21/2025,AplPay GARDEN CONVENRIDGEWOOD           NY,8.00,"73055465112 ADNAN.ELMALIKI@YAHOO.
ADNAN.ELMALIKI@YAHOO.COM
AplPay GARDEN CONVENIENCE DELI C 554630118
RIDGEWOOD
NY
ADNAN.ELMALIKI@YAHOO.COM",AplPay GARDEN CONVENRIDGEWOOD           NY,6502 FRESH POND RD STE 3,"RIDGEWOOD
NY",11385,UNITED STATES,'320251130876739124',Merchandise & Supplies-Groceries
04/21/2025,UBER,55.95,"8ZX4C709    8005928996
AplPay Uber Trip
help.uber.com
CA
8005928996",AplPay Uber Trip    help.uber.com       CA,"1455 MARKET ST
4TH FLOOR","SAN FRANCISCO
CA",94103,UNITED STATES,'320251110812839517',Transportation-Taxis & Coach
04/20/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90,"00813396466 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320251110817580193',Transportation-Rail Services
04/20/2025,AplPay NYCT PAYGO   NEW YORK            NY,2.90,"00813516194 LOCAL TRANSPORTATION
AplPay NYCT PAYGO
NEW YORK
NY
LOCAL TRANSPORTATION",AplPay NYCT PAYGO   NEW YORK            NY,"ATTN NYCT CONTROLLER
2 BROADWAY 15TH FLOOR","NEW YORK
NY",10004,UNITED STATES,'320251110821122044',Transportation-Rail Services
04/18/2025,UBER,55.88,"4H46CNJZ    8005928996
AplPay Uber Trip
help.uber.com
CA
8005928996",AplPay Uber Trip    help.uber.com       CA,"1455 MARKET ST
4TH FLOOR","SAN FRANCISCO
CA",94103,UNITED STATES,'320251090760629405',Transportation-Taxis & Coach
